blogpost_id,url,user,date,text,sentiment,toxicity
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,1,2/12/19 14:29,It appears she has integrity Perhaps her Dad was correct and she will be Prime Minister one day Its tough to stand alone when youre right,-0.015873,0.05911644
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,2,2/12/19 17:25,Its going to be a very long time before we allow a liberal to be prime minister again,-0.065,0.07402036
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,3,2/12/19 21:52,Absolutely agree I am convinced that in any foreseeable future liberals will be governing in Ontario or on the federal level,0.1,0.1219777
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,4,2/26/19 19:11,He has neither the balls nor the integrity to resign  and being a clown cannot believe the audience does not like his act,0,0.511766
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,5,10/19/19 20:13,The Buffalo chronicle is a lying SACK OF Buffalo Chips Oh did I say BUSS SHIT,-0.25,0.96741134
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,6,2/13/19 13:47,This was a very good article but the writer said Trudeau asked for WilsonRayboulds resignation Tuesday morning This was the first I had heard of that and was just wanting to check if it is correct The MSM in Canada is making Jody out as a hero for resigning her cabinet post,0.58,0.040246297
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,7,2/15/19 17:03,I dont see anywhere in this article that she was asked to resign It says that he announced on Tuesday that she had resigned with a heavy heart,-0.2,0.062120777
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,8,2/14/19 3:44,There is a glaring hipocracy when considering PM statements on the Lady Meng  Huawei extradition case Here in Asia opinions are unforgiving formerly nicknamed Xio tdu small potato we now hear Trump lap dog and a new media label which modestly translates to smallcat paw,-0.003409,0.10766585
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,9,2/14/19 19:45,Please Turdeau just walk away for good you suck your the worst mistake Canada ever did and your father was the second some family tree,-0.1,0.9050746
16,https://buffalochronicle.com/2019/02/12/corruption-scandal-prompts-calls-on-trudeau-to-resign/,10,5/27/19 15:23,the rain washes away the mud early in the game here,-0.15,0.1531875
17,https://buffalochronicle.com/2019/02/15/with-liberals-in-crisis-mode-ndp-may-select-wilson-raybould-as-leader/,11,2/16/19 3:28,Coming from south of the Canadian border in the land of fake news this piece is full of inaccuracies and fake information The author needs to conduct quality research before hitting the keyboard  or connect with a quality Canadian freelance journalist to compose Canadian articles,-0.216667,0.35798043
17,https://buffalochronicle.com/2019/02/15/with-liberals-in-crisis-mode-ndp-may-select-wilson-raybould-as-leader/,2,2/16/19 14:12,NDP will do much the same as the Liberals have Thats why she was Liberal Is this another split the vote scheme,0.1,0.23546574
17,https://buffalochronicle.com/2019/02/15/with-liberals-in-crisis-mode-ndp-may-select-wilson-raybould-as-leader/,2,2/17/19 19:01,JWR ran as a Liberal like Mulcair who turned turtle during the 15 election Liberals always sit on the fence until push comes to shove then they swing to the right under pressure JWR is not ready for the NDP,0.092857,0.30175072
17,https://buffalochronicle.com/2019/02/15/with-liberals-in-crisis-mode-ndp-may-select-wilson-raybould-as-leader/,2,2/18/19 16:10,She would be a great leader of the NDP as long as she isnt a Globalist sellout Go back to your roots NDP and wake up,0.25,0.45653647
17,https://buffalochronicle.com/2019/02/15/with-liberals-in-crisis-mode-ndp-may-select-wilson-raybould-as-leader/,12,3/16/19 22:31,She will not get my vote as a NDP,0,0.32154855
